neck_angle,shoulder_tilt,spine_lean_angle,forward_head_offset,shoulder_hip_alignment,ear_shoulder_dist,shoulder_symmetry,lateral_lean,label_raw,label,subject
173.4446,4.0366,177.8927,0.78,173.4446,0.1006,0.9229,1.5473,TLF,Forward Lean,1
173.2466,4.4398,178.0699,0.8221,173.2466,0.0978,0.9138,1.4261,TLF,Forward Lean,1
175.1579,4.3186,178.0545,0.4924,175.1579,0.0974,0.9164,1.4373,TLF,Forward Lean,1
178.9016,4.4178,177.9584,-0.1624,178.9016,0.0987,0.9159,1.5166,TLF,Forward Lean,1
179.1838,4.3517,177.9619,-0.5145,179.1838,0.1033,0.9174,1.516,TLF,Forward Lean,1
171.6387,4.3523,178.7567,1.2891,171.6387,0.104,0.9144,0.9244,TLF,Forward Lean,1
169.7904,4.6514,178.8949,1.5273,169.7904,0.0965,0.9077,0.8245,TLF,Forward Lean,1
177.9225,4.6611,178.8875,0.1603,177.9225,0.0952,0.9077,0.8303,TLF,Forward Lean,1
179.5714,4.7107,178.8638,-0.2732,179.5714,0.1001,0.9079,0.8493,TLF,Forward Lean,1
179.5813,4.654,178.8635,-0.2709,179.5813,0.0998,0.9092,0.8499,TLF,Forward Lean,1
179.0658,4.5576,178.8474,-0.362,179.0658,0.0994,0.9111,0.8677,TLF,Forward Lean,1
178.4966,4.2409,178.6711,-0.4996,178.4966,0.1011,0.9172,0.9957,TLF,Forward Lean,1
178.5721,4.079,178.5392,-0.5124,178.5721,0.1017,0.9203,1.0919,TLF,Forward Lean,1
179.0301,3.977,178.4851,-0.4443,179.0301,0.1025,0.9218,1.1279,TLF,Forward Lean,1
179.2543,3.98,178.4536,-0.4154,179.2543,0.1039,0.9217,1.1513,TLF,Forward Lean,1
179.1479,4.0483,178.466,-0.1266,179.1479,0.1064,0.9198,1.1414,TLF,Forward Lean,1
178.4948,4.0477,178.3441,-0.0282,178.4948,0.1072,0.9202,1.2285,TLF,Forward Lean,1
177.9634,4.0324,178.2596,0.0521,177.9634,0.1008,0.9205,1.2905,TLF,Forward Lean,1
175.1577,4.1173,178.2209,0.4284,175.1577,0.0802,0.9184,1.3017,TLF,Forward Lean,1
172.2196,3.8704,178.731,0.7754,172.2196,0.0684,0.9235,0.96,TLF,Forward Lean,1
172.3829,3.8586,178.6943,0.7764,172.3829,0.0706,0.9241,0.9871,TLF,Forward Lean,1
173.8351,4.2827,178.647,0.6707,173.8351,0.08,0.9151,1.0163,TLF,Forward Lean,1
174.9688,4.625,178.5818,0.5455,174.9688,0.0866,0.9078,1.0581,TLF,Forward Lean,1
174.8748,4.4824,178.5984,0.6257,174.8748,0.0963,0.9115,1.0546,TLF,Forward Lean,1
175.4964,4.3516,178.5054,0.5206,175.4964,0.0992,0.9135,1.1082,TLF,Forward Lean,1
170.831,5.1282,175.5913,0.6823,170.831,0.0822,0.9569,3.488,TLF,Forward Lean,1
170.9618,5.1922,175.7257,0.6897,170.9618,0.083,0.9542,3.3797,TLF,Forward Lean,1
170.7198,5.2424,176.1354,0.7917,170.7198,0.0839,0.9493,3.0533,TLF,Forward Lean,1
170.9553,5.3739,176.1794,0.7715,170.9553,0.0847,0.9454,3.0128,TLF,Forward Lean,1
171.4394,5.4601,176.2466,0.7212,171.4394,0.0861,0.9421,2.9442,TLF,Forward Lean,1
171.8845,5.5333,176.2893,0.6697,171.8845,0.0872,0.9395,2.8995,TLF,Forward Lean,1
173.2715,5.3637,176.2848,0.4758,173.2715,0.0905,0.9421,2.9092,TLF,Forward Lean,1
174.3054,5.0681,176.2644,0.3112,174.3054,0.091,0.945,2.9353,TLF,Forward Lean,1
174.0961,5.2048,176.1865,0.335,174.0961,0.0918,0.943,2.998,TLF,Forward Lean,1
173.8441,5.1758,176.1441,0.3755,173.8441,0.0936,0.9438,3.0321,TLF,Forward Lean,1
174.1518,5.1702,176.0901,0.3187,174.1518,0.0942,0.9443,3.0734,TLF,Forward Lean,1
175.6606,5.3498,176.0568,0.0652,175.6606,0.0943,0.9409,3.106,TLF,Forward Lean,1
178.924,5.608,176.0847,-0.8163,178.924,0.0938,0.9347,3.0897,TLF,Forward Lean,1
173.9584,6.0036,175.9477,-1.6859,173.9584,0.0962,0.9272,3.2103,TLF,Forward Lean,1
174.9085,6.0136,175.9258,-1.5629,174.9085,0.0981,0.9271,3.2285,TLF,Forward Lean,1
176.1856,5.5159,176.4486,-1.2378,176.1856,0.0966,0.9347,2.8282,TLF,Forward Lean,1
176.5522,5.2024,176.4755,-1.0912,176.5522,0.0899,0.94,2.7897,TLF,Forward Lean,1
177.1757,5.0016,176.4585,-0.1086,177.1757,0.0868,0.9437,2.7881,TLF,Forward Lean,1
174.5783,5.1345,176.4573,0.2851,174.5783,0.0869,0.9413,2.7889,TLF,Forward Lean,1
170.0886,5.3284,176.1078,0.8148,170.0886,0.0777,0.941,3.0586,TLF,Forward Lean,1
